"","id","id_plot","blocking","treatment","yield_kg_plot","yield_tn_ha"
"1",1,101,1,"N50",46.66,6.48055555555556
"2",2,201,1,"N100",50.64,7.03333333333333
"3",3,301,1,"N150",58,8.05555555555556
"4",4,401,1,"N200",48.17,6.69027777777778
"5",5,501,1,"N0",43.89,6.09583333333333
"6",6,601,1,"N150",47.06,6.53611111111111
"7",7,102,2,"N200",47.79,6.6375
"8",8,202,2,"N0",47.7,6.625
"9",9,302,2,"N50",51.56,7.16111111111111
"10",10,402,2,"N100",49.06,6.81388888888889
"11",11,502,2,"N50",51.24,7.11666666666667
"12",12,602,2,"N200",54.24,7.53333333333333
"13",13,103,3,"N0",45.17,6.27361111111111
"14",14,203,3,"N150",47.41,6.58472222222222
"15",15,303,3,"N200",53.22,7.39166666666667
"16",16,403,3,"N150",50.84,7.06111111111111
"17",17,503,3,"N100",49.87,6.92638888888889
"18",18,603,3,"N50",55.37,7.69027777777778
"19",19,104,4,"N150",51.69,7.17916666666667
"20",20,204,4,"N50",48.74,6.76944444444444
"21",21,304,4,"N100",53.88,7.48333333333333
"22",22,404,4,"N0",48.46,6.73055555555556
"23",23,504,4,"N200",47.87,6.64861111111111
"24",24,604,4,"N0",54.76,7.60555555555556
"25",25,105,5,"N100",50.98,7.08055555555555
"26",26,205,5,"N200",49.24,6.83888888888889
"27",27,305,5,"N0",52.31,7.26527777777778
"28",28,405,5,"N50",46,6.38888888888889
"29",29,505,5,"N150",45.48,6.31666666666667
"30",30,605,5,"N100",52.62,7.30833333333333
